"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg Part Number"
"1","7","C1, C2, C3, C5, C6, C7, C8","0.1uF","device:C_Small","Capacitors_SMD:C_0402","","CC0402KRX7R7BB104"
"2","1","C4","10nF","device:C_Small","Capacitors_SMD:C_0402","","CC0402KRX7R7BB103"
"3","1","C9","10uF","device:C_Small","Capacitors_SMD:C_0805","","TBD"
"4","4","FB1, FB2, FB3, FB4","~","baconbits-cache:FB-_INCH_-0603","PocketBeagle.pretty:0603","","LI0603G121R-10"
"5","1","J1","USB_A","conn:USB_A","Connect:USB_A","","292303-1"
"6","1","LD1","LED_BGR","baconbits:LED_BGR","PocketBeagle.pretty:LED_RGB_PLLC-6","http://www.qt-brightek.com/datasheet/QBLP679E-RGB.pdf","QBLP679E-RGB"
"7","14","LD2, LD3, LD4, LD5, LD6, LD7, LD8, LD9, LD10, LD11, LD12, LD13, LD14, LD15","LED_Small_ALT","device:LED_Small_ALT","LEDs:LED-0603","","LTST-C191KRKT"
"8","2","P1, P2","~","baconbits-cache:2X18-_INCH_-0.1-TH-_35MIL-DIA_-W_O-SILK","PocketBeagle.pretty:TH-2X18-(35MIL-DIA)-W_O-SILK","","77313-424-36LF"
"9","3","Q1, Q2, Q3","BC817","transistors:BC817","TO_SOT_Packages_SMD:SOT-23","","BC817-40Q-13-F"
"10","8","R1, R2, R3, R7, R8, R11, R12, R13","4.7K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-074K7L"
"11","3","R4, R5, R6","100K","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-07100KL"
"12","2","R9, R10","22","baconbits-cache:RESISTOR-_INCH_-0402","PocketBeagle.pretty:0402","","RC0402FR-0722RL"
"13","5","RN1, RN2, RN3, RN4, RN5","470","baconbits-cache:RESISTOR.NETWORK-_4_","RN0804","","YC124-JR-07470RL"
"14","1","RV1","3352T-1-502LF","device:POT_TRIM","PocketBeagle.pretty:3352T-1","http://www.bourns.com/docs/Product-Datasheets/3352.pdf","3352T-1-502LF"
"15","3","SW1, SW2, SW3","BTN","baconbits-cache:MINI_PUSHBUTTON","PocketBeagle.pretty:MINI_PUSHBUTTON","","KMR231GLFS"
"16","1","U1","MCP23S18-E/MJ","baconbits:MCP23S18-E/MJ","Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22103a.pdf","MCP23S18-E/MJ"
"17","1","U2","MMA8452QR1","baconbits:MMA8452QR1","PocketBeagle.pretty:MMA8452QR1","https://www.nxp.com/docs/en/data-sheet/MMA8452Q.pdf","MMA8452QR1"
"18","1","U3","TPD4S012DRY","baconbits-cache:TPD4S012DRYR","PocketBeagle.pretty:SON-6(TI)-DRY","http://www.ti.com/lit/ds/symlink/tpd4s012.pdf","TPD4S012DRY"
"19","1","U4","FT230XQ","ftdi:FT230XQ","Housings_DFN_QFN:QFN-16-1EP_4x4mm_Pitch0.65mm","","FT230XQ-R"
"20","1","U5","TPS2051C","baconbits:TPS2051C","TO_SOT_Packages_SMD:SOT-23-5","","TPS2051C"
"21","1","X1","10118192-0001LF","baconbits-cache:10118192-0001LF","PocketBeagle.pretty:10118192-0001LF(MICRO-USB-B-AMPHENOL-FCI)","","10118192-0001LF"
